# board=.../RBB-SS-EAGLE/RBBB-SS-V1.0.bot.etch.tap
# tool size=0.177800
# pass=1
# preview window width=800 height=600
 2.40729,13.27011, 2.47511,13.20229
 2.47511,13.20229, 2.55818,13.15433
 2.55818,13.15433, 2.65084,13.12950
 2.65084,13.12950, 4.39704,13.12950
 4.39704,13.12950,76.88296,13.12950
76.88296,13.12950,76.97561,13.15433
76.97561,13.15433,77.05868,13.20229
77.05868,13.20229,77.06439,13.20800
77.06439,13.20800,77.10783,13.20800
77.10783,13.20800,77.18659,13.24062
77.18659,13.24062,77.24687,13.30090
77.24687,13.30090,77.27950,13.37967
77.27950,13.37967,77.27950,27.89532
77.27950,27.89532,77.24687,27.97409
77.24687,27.97409,77.18659,28.03437
77.18659,28.03437,77.10783,28.06700
77.10783,28.06700,75.54313,28.06700
75.54313,28.06700,75.52214,28.07119
75.52214,28.07119,75.50092,28.06700
75.50092,28.06700,75.47929,28.06700
75.47929,28.06700,75.45951,28.05880
75.45951,28.05880,75.43851,28.05465
75.43851,28.05465,75.42877,28.04815
75.42877,28.04815,75.37596,28.05872
75.37596,28.05872,75.35597,28.06700
75.35597,28.06700,75.33456,28.06700
75.33456,28.06700,75.31358,28.07119
75.31358,28.07119,75.29236,28.06700
75.29236,28.06700,74.23340,28.06700
74.23340,28.06700,74.21241,28.07119
74.21241,28.07119,74.19119,28.06700
74.19119,28.06700,74.16956,28.06700
74.16956,28.06700,74.14978,28.05880
74.14978,28.05880,74.12878,28.05465
74.12878,28.05465,74.11904,28.04816
74.11904,28.04816,74.06624,28.05872
74.06624,28.05872,74.04625,28.06700
74.04625,28.06700,74.02483,28.06700
74.02483,28.06700,74.00385,28.07119
74.00385,28.07119,73.98263,28.06700
73.98263,28.06700,70.09910,28.06700
70.09910,28.06700,70.09909,28.06699
70.09909,28.06699,69.96712,28.06700
69.96712,28.06700,69.13609,28.06700
69.13609,28.06700,69.02450,28.17859
69.02450,28.17859,69.02450,29.41231
69.02450,29.41231,69.02449,29.53987
69.02449,29.53987,69.02450,29.53987
69.02450,29.53987,69.02450,29.80033
69.02450,29.80033,68.99187,29.87909
68.99187,29.87909,68.93159,29.93937
68.93159,29.93937,68.85282,29.97200
68.85282,29.97200,63.72949,29.97200
63.72949,29.97200,63.72368,29.97781
63.72368,29.97781,63.64061,30.02577
63.64061,30.02577,63.54796,30.05060
63.54796,30.05060, 2.65084,30.05060
 2.65084,30.05060, 2.55818,30.02577
 2.55818,30.02577, 2.47511,29.97781
 2.47511,29.97781, 2.40729,29.90998
 2.40729,29.90998, 2.35933,29.82691
 2.35933,29.82691, 2.33450,29.73426
 2.33450,29.73426, 2.33450,13.44584
 2.33450,13.44584, 2.35933,13.35318
 2.35933,13.35318, 2.40729,13.27011
 3.51527,14.61949, 3.42714,14.74079
 3.42714,14.74079, 3.35908,14.87435
 3.35908,14.87435, 3.34240,14.92570
 3.34240,14.92570, 3.36850,14.92570
 3.36850,14.92570, 3.42022,14.80085
 3.42022,14.80085, 3.52168,14.64901
 3.52168,14.64901, 3.65081,14.51988
 3.65081,14.51988, 3.80265,14.41842
 3.80265,14.41842, 3.97137,14.34853
 3.97137,14.34853, 4.08070,14.32678
 4.08070,14.32678, 4.08070,14.30114
 4.08070,14.30114, 4.01875,14.31095
 4.01875,14.31095, 3.87615,14.35728
 3.87615,14.35728, 3.74259,14.42534
 3.74259,14.42534, 3.62129,14.51347
 3.62129,14.51347, 3.51527,14.61949
 3.36850,15.55429, 3.34240,15.55429
 3.34240,15.55429, 3.35908,15.60564
 3.35908,15.60564, 3.42714,15.73920
 3.42714,15.73920, 3.51527,15.86051
 3.51527,15.86051, 3.62129,15.96653
 3.62129,15.96653, 3.74259,16.05466
 3.74259,16.05466, 3.87615,16.12271
 3.87615,16.12271, 4.01875,16.16904
 4.01875,16.16904, 4.13070,16.18678
 4.13070,16.18678, 4.13070,16.16316
 4.13070,16.16316, 3.97137,16.13147
 3.97137,16.13147, 3.80265,16.06158
 3.80265,16.06158, 3.65081,15.96012
 3.65081,15.96012, 3.52168,15.83099
 3.52168,15.83099, 3.42022,15.67914
 3.42022,15.67914, 3.36850,15.55429
 3.39124,17.21167, 3.23850,17.58043
 3.23850,17.58043, 3.23850,17.97957
 3.23850,17.97957, 3.39124,18.34832
 3.39124,18.34832, 3.67347,18.63056
 3.67347,18.63056, 4.04223,18.78330
 4.04223,18.78330, 4.84777,18.78330
 4.84777,18.78330, 5.21652,18.63056
 5.21652,18.63056, 5.49876,18.34832
 5.49876,18.34832, 5.65150,17.97957
 5.65150,17.97957, 5.65150,17.58043
 5.65150,17.58043, 5.49876,17.21167
 5.49876,17.21167, 5.21652,16.92944
 5.21652,16.92944, 4.84777,16.77670
 4.84777,16.77670, 4.04223,16.77670
 4.04223,16.77670, 3.67347,16.92944
 3.67347,16.92944, 3.39124,17.21167
 3.52168,17.18901, 3.65081,17.05988
 3.65081,17.05988, 3.80265,16.95842
 3.80265,16.95842, 3.97137,16.88853
 3.97137,16.88853, 4.15048,16.85290
 4.15048,16.85290, 4.73951,16.85290
